,,,,,,,,,,,,,,,
STT,Code,Hình thức,Định dạng,USP,Link mẫu,Nội dung content (key bài viết + cách triển khai),Ảnh,Caption,Link trả bài ,Comment,UTM,ADS,Tình trạng,,
11,code11,"Storytelling/
Page Kurio",Video,"- Nhờ gia sư toán AI 1 kèm 1
- Bài giảng bám sát chương trình bộ giáo dục
- Luyện tập, luyện thi hàng tháng có bài giải chi tiết, được hướng dẫn tỉ mỉ",,"* Key chính:
- Thay đổi điểm số trong 3 tháng từ thi giữa kì đến thi cuối kì
- Tự giác học bài không còn sợ Toán",Video ads,HỌC 3 THÁNG - TOÁN TĂNG 3 ĐIỂM CÙNG GIA SƯ AI,HỌC 3 THÁNG - TOÁN TĂNG 3 ĐIỂM CÙNG GIA SƯ AI,ok,utm_source=FB&utm_medium=CVS&utm_campaign=img&utm_term=TUANTA&utm_content=code11,CVS_TUANTA_20/05_CODE11,,,
12,code12,"Storytelling/
Page Kurio",Video,"- Nhờ gia sư toán AI 1 kèm 1
- Bài giảng bám sát chương trình bộ giáo dục
- Luyện tập, luyện thi hàng tháng có bài giải chi tiết, được hướng dẫn tỉ mỉ",,"* Key chính:
- Con tự tin đạt trên 8 điểm toán thi học kỳ",Video sẵn,"TRÊN 8 ĐIỂM TOÁN HỌC KÌ II - QUÁ DỄ VỚI CON SAU 2 THÁNG HỌC TOÁN TƯ DUY
",TRÊN 8 ĐIỂM TOÁN HỌC KÌ II - QUÁ DỄ VỚI CON SAU 2 THÁNG HỌC TOÁN TƯ DUY,"ok nhưng bài này e ko chèn link nào vào bài à. Chỉ để link trên video đúng ko?

Em chèn thêm 1 link cuối bài và link trên video

ok",,CVS_TUANTA_20/05_CODE12,,,
13,code13,"Storytelling/
Page Kurio",Video,"- Nhờ gia sư toán AI 1 kèm 1
- Bài giảng bám sát chương trình bộ giáo dục
- Luyện tập, luyện thi hàng tháng có bài giải chi tiết, được hướng dẫn tỉ mỉ",,"* Key chính:
- Chi phí học toán tư duy cao nhưng không hiệu quả
- Cho con học toán tư duy sớm để không bỏ lỡ giai đoạn vàng",Video sẵn,"CHI 20 TRIỆU CHỈ ĐỂ NHẬN VỀ … SỰ THẤT VỌNG SAU 3 THÁNG HỌC TOÁN TƯ DUY",CHI 20 TRIỆU CHỈ ĐỂ NHẬN VỀ … SỰ THẤT VỌNG SAU 3 THÁNG HỌC TOÁN TƯ DUY,ok,,CVS_TUANTA_20/05_CODE13,,,
14,code14,PR,Post,"- App toán tư duy ứng dụng AI thông minh, gia sư kèm 1:1
- Bài giảng trực quan sinh động, được biên soạn theo chương trình của BGD
- Phương pháp học độc đáo, tiên tiến sử dụng game hóa và cổ tích logic và bài luyện tập",,"* Key chính:
- Giới thiệu app học toán, các tinh năng
- Chi phỉ chỉ 90k/tháng",Ảnh,"App học Toán tư duy Kurio – Trợ lý AI học Toán thông minh cho học sinh lớp 1-9, chỉ 90.000đ/tháng","🎯 App học Toán tư duy Kurio – Trợ lý AI học Toán thông minh cho học sinh lớp 1-9, chỉ 90",ok,,CVS_TUANTA_22/05_CODE14,,,
15,code15,PR,Post,"- App toán tư duy ứng dụng AI thông minh, gia sư kèm 1:1
- Bài giảng trực quan sinh động, được biên soạn theo chương trình của BGD
- Phương pháp học độc đáo, tiên tiến sử dụng game hóa và cổ tích logic và bài luyện tập",,"* Key chính:
- 30 ngày đột phá tư duy toán học cùng gia sư công nghệ AI
- Chi phí 3k/ngày",Ảnh,30 NGÀY ĐỘT PHÁ TƯ DUY TOÁN HỌC - CÙNG GIA SƯ CÔNG NGHỆ AI,📚 30 NGÀY ĐỘT PHÁ TƯ DUY TOÁN HỌC - CÙNG GIA SƯ CÔNG NGHỆ AI,ok,,CVS_TUANTA_22/05_CODE15,,,
16,code16,"Storytelling/
Page Kurio",Post,"- Nhờ gia sư toán AI 1 kèm 1
- Bài giảng bám sát chương trình bộ giáo dục
- Luyện tập, luyện thi hàng tháng có bài giải chi tiết, được hướng dẫn tỉ mỉ",,"* Key chính:
- Baì kiểm tra cuối kì điểm thấp -> kết quả thay đổi nhanh
- Con không hiểu bài, làm theo máy móc, ...",,"CON GÁI KHÓC NỨC NỞ VÌ 5 ĐIỂM KIỂM TRA TOÁN CUỐI KÌ
",CON GÁI KHÓC NỨC NỞ VÌ 5 ĐIỂM KIỂM TRA TOÁN CUỐI KÌ0,ok,,CVS_TUANTA_29/05_CODE16+18,,,
17,code17,"Storytelling/
Page Kurio",Video,"- Chi phí 90k/tháng
- Nhờ gia sư toán AI 1 kèm 1
- Bài giảng bám sát chương trình bộ giáo dục
- Luyện tập, luyện thi hàng tháng có bài giải chi tiết, được hướng dẫn tỉ mỉ",,"* Key chính:
- Chi phí chỉ từ 90k/tháng,...
- Con tự học, kết quả thay đổi,...",Video ads,Nhà em không ngờ chỉ phải bỏ ra 90k/tháng,Nhà em không ngờ chỉ phải bỏ ra 90k/tháng,ok,utm_source=fb&utm_medium=cvs&utm_campaign=img&utm_term=tuanta&utm_content=code17,CVS_TUANTA_29/05_CODE17+22,,,
18,code18,Storytelling page cá nhân,Post,"- Chi phí 90k/tháng
- Nhờ gia sư toán AI 1 kèm 1
- Bài giảng bám sát chương trình bộ giáo dục
- Luyện tập, luyện thi hàng tháng có bài giải chi tiết, được hướng dẫn tỉ mỉ",,"* Key chính:
- Giải pháp để con tự học hè, ôn tập kiến thức cũ, tiếp cận kiến thức mới
- Con thi cuối kỳ điểm thấp cần cải thiện trong hè",,"""MẸ ƠI, CON XIN LỖI VÌ CHỈ ĐƯỢC CÓ 6 ĐIỂM TOÁN…""","""MẸ ƠI, CON XIN LỖI VÌ CHỈ ĐƯỢC CÓ 6 ĐIỂM TOÁN…""",ok,,CVS_TUANTA_29/05_CODE16+18,,,
19,code19,Storytelling page cá nhân,Post,"- App toán tư duy ứng dụng AI thông minh, gia sư kèm 1:1
- Bài giảng trực quan sinh động, được biên soạn theo chương trình của BGD
- Phương pháp học độc đáo, tiên tiến sử dụng game hóa và cổ tích logic và bài luyện tập",,"* Key chính:
- Con học cả ngày, sáng chiều tối mà kết quả không thay đổi là bao
- Con sợ toán, sợ học",,HÈ NÀY CON CHỈ MUỐN… NGHỈ MỘT CHÚT!,HÈ NÀY CON CHỈ MUỐN… NGHỈ MỘT CHÚT,Đã comment,,CVS_TUANTA_29/05_CODE19,,,
20,code20,PR,Post,"- App toán tư duy ứng dụng AI thông minh, gia sư kèm 1:1
- Bài giảng trực quan sinh động, được biên soạn theo chương trình của BGD
- Phương pháp học độc đáo, tiên tiến sử dụng game hóa và cổ tích logic và bài luyện tập",,"* Key chính:
- Làm chủ môn toán, giúp con chinh phục trường chuyên lớp chọn sau hè
- Con tự học hè, trợ lý gia sư AI 1 kèm 1","* Brief: 
- Tỉ lệ ảnh 1:1
- Title: LÀM CHỦ MÔN TOÁN – BỨT PHÁ VÀO TRƯỜNG CHUYÊN, LỚP CHỌN SAU MÙA HÈ
- Text chính 1: làm chủ môn toán 
- text chính 2: Bứt phá vào trường chuyên, lớp chọn (Nổi bật hơn text chính 1)
- text phụ: sau mùa hè
- hình ảnh: tùy chọn phù hợp với text
- CTA: Xem ngay
- Thiết kế theo style chung của page","LÀM CHỦ MÔN TOÁN – BỨT PHÁ VÀO TRƯỜNG CHUYÊN, LỚP CHỌN SAU MÙA HÈ","🎯 LÀM CHỦ MÔN TOÁN – BỨT PHÁ VÀO TRƯỜNG CHUYÊN, LỚP CHỌN SAU MÙA HÈ",Đã comment,,CVS_TUANTA_20/05_CODE10+20,,,
