ADS	LEAD	CHI PHÍ	CPL	Đơn	Doanh thu	ROAS
ct18-xpage	22	7.470.710	339.578	1	2.500.000	0,33
ct19	16	8.074.956	504.685	3	4.300.000	0,53
ct19-reup	19	4.009.173	211.009	1	1.300.000	0,32
ct19-xpage	4	1.844.870	461.218	1	1.500.000	0,81
ct21	1	700.531	700.531			0,00
ct23	2	193.322	96.661			0,00
ct24	1	2.028.560	2.028.560			0,00
ct5-xpage	0	281.752	#DIV/0!			0,00
ct6	1	1.679.913	1.679.913	1	1.700.000	1,01
ct6-xpage	1	677.674	677.674			0,00
cx	3	1.736.257	578.752	2	4.000.000	2,30
CX - 94	2	910.991	455.496			0,00
CX-3	56	17.166.460	306.544	8	17.700.000	1,03
cx-93	28	8.151.548	291.127	2	3.000.000	0,37
cx-94	19	7.867.133	414.060	5	8.050.000	1,02
CX93-3	42	11.205.388	266.795	7	10.750.000	0,96
HTTT	0	182.503	#DIV/0!			0,00
intro2-xpage	60	10.357.429	172.624	8	14.200.000	1,37
nhungnt56_1	0	602.600	#DIV/0!			0,00
nhungnt56_2	2	73.406	36.703			0,00
nhungnt56_xpage	1	258.052	258.052	1	1.300.000	5,04
nhungnt56_xpage2	11	4.039.609	367.237			0,00
NM	23	6.825.739	296.771	2	3.200.000	0,47
NM-3	90	25.981.945	288.688	9	12.500.000	0,48
NOTT	6	4.198.514	699.752			0,00
NOTT-2	1	806.134	806.134			0,00
nq-code136	0	77.010	#DIV/0!			0,00
nq-code139	3	1.276.935	425.645			0,00
tangdiem	0	574.018	#DIV/0!			0,00
toan_72	2	663.161	331.581			0,00
TSTH	2	1.087.699	543.850	1	1.000.000	0,92
Tổng cộng	1627	562.390.222	345.661	246	404.351.000	0,72
