Code,is_xpage,First month,YTD spend,YTD rev,YTD ROAS,,Apr+May spend,Apr+May rev,Apr+May ROAS,,2026-01 spend,2026-01 rev,2026-01 ROAS,,2026-02 spend,2026-02 rev,2026-02 ROAS,,2026-03 spend,2026-03 rev,2026-03 ROAS,,2026-04 spend,2026-04 rev,2026-04 ROAS,,2026-05 spend,2026-05 rev,2026-05 ROAS,,5/4-5/10 spend,5/4-5/10 regs,5/4-5/10 CPR,5/4-5/10 rev,5/4-5/10 ROAS,,5/11-5/17 spend,5/11-5/17 regs,5/11-5/17 CPR,5/11-5/17 rev,5/11-5/17 ROAS
code184,FALSE,2026-03,"1,309,125",0,0,,"532,715",0,0,,0,0,,,0,0,,,"776,410",0,0,,"170,551",0,0,,"362,164",0,0,,"362,164",1,"362,164",0,0,,,,,,
nq-code139,FALSE,2026-04,"1,276,935","1,400,000",1.096,,"1,276,935","1,400,000",1.096,,0,0,,,0,0,,,0,0,,,"1,276,935","1,400,000",1.096,,0,0,,,,,,,,,,,,,
ct18,FALSE,2026-03,"1,190,300",0,0,,"294,336",0,0,,0,0,,,0,0,,,"895,964",0,0,,"294,336",0,0,,0,0,,,,,,,,,,,,,
ct11,FALSE,2026-04,"1,155,145",0,0,,"1,155,145",0,0,,0,0,,,0,0,,,0,0,,,"1,155,145",0,0,,0,0,,,,,,,,,,,,,
code119,FALSE,2026-01,"1,120,954","1,300,000",1.16,,0,0,,,"1,120,954","1,300,000",1.16,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
tsth,FALSE,2026-04,"1,087,699","3,000,000",2.758,,"1,087,699","3,000,000",2.758,,0,0,,,0,0,,,0,0,,,"1,087,699","3,000,000",2.758,,0,0,,,,,,,,,,,,,
chuyencap,FALSE,2026-04,"1,074,783",0,0,,"1,074,783",0,0,,0,0,,,0,0,,,0,0,,,"1,074,783",0,0,,0,0,,,,,,,,,,,,,
30th6_55,FALSE,2026-04,"1,059,036",0,0,,"1,059,036",0,0,,0,0,,,0,0,,,0,0,,,"1,059,036",0,0,,0,0,,,,,,,,,,,,,
code176,FALSE,2026-04,"1,026,011",0,0,,"1,026,011",0,0,,0,0,,,0,0,,,0,0,,,"827,145",0,0,,"198,866",0,0,,"198,866",0,,0,0,,,,,,
code14_xpage,TRUE,2026-04,"1,019,529",0,0,,"1,019,529",0,0,,0,0,,,0,0,,,0,0,,,"992,197",0,0,,"27,332",0,0,,,,,,,,"27,332",0,,0,0
code197,FALSE,2026-01,"1,002,855","2,750,000",2.742,,0,0,,,"1,002,855",0,0,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
code147-reup,FALSE,2026-04,"987,910",0,0,,"987,910",0,0,,0,0,,,0,0,,,0,0,,,"987,910",0,0,,0,0,,,,,,,,,,,,,
code185,FALSE,2026-03,"986,704",0,0,,"375,304",0,0,,0,0,,,0,0,,,"611,400",0,0,,"154,464",0,0,,"220,840",0,0,,"220,840",0,,0,0,,,,,,
code192,FALSE,2026-01,"970,239",0,0,,"538,481",0,0,,"431,758",0,0,,0,0,,,0,0,,,0,0,,,"538,481",0,0,,"538,481",1,"538,481",0,0,,,,,,
code183,FALSE,2026-01,"921,008","4,050,000",4.397,,"121,495",0,0,,"335,802","2,750,000",8.189,,"130,898",0,0,,"332,813","1,300,000",3.906,,"120,118",0,0,,"1,377",0,0,,,,,,,,"1,377",0,,0,0
code14-2,FALSE,2026-04,"853,391","2,600,000",3.047,,"853,391",0,0,,0,"2,600,000",,,0,0,,,0,0,,,"853,391",0,0,,0,0,,,,,,,,,,,,,
nott-2,FALSE,2026-04,"806,134","1,700,000",2.109,,"806,134","1,700,000",2.109,,0,0,,,0,0,,,0,0,,,"806,134","1,700,000",2.109,,0,0,,,,,,,,,,,,,
code156,FALSE,2026-02,"770,107",0,0,,"136,530",0,0,,0,0,,,"361,974",0,0,,"271,603",0,0,,"136,530",0,0,,0,0,,,,,,,,,,,,,
code84,FALSE,2026-01,"738,970",0,0,,"63,661",0,0,,"17,838",0,0,,"455,834",0,0,,"201,637",0,0,,"43,100",0,0,,"20,561",0,0,,"2,869",0,,0,0,,"14,957",0,,0,0
code42,FALSE,2026-04,"714,843","2,500,000",3.497,,"714,843","1,200,000",1.679,,0,0,,,0,0,,,0,"1,300,000",,,"714,843","1,200,000",1.679,,0,0,,,,,,,,,,,,,
code47,FALSE,2026-04,"704,385",0,0,,"704,385",0,0,,0,0,,,0,0,,,0,0,,,"704,385",0,0,,0,0,,,,,,,,,,,,,
code43-3,FALSE,2026-04,"702,173","2,800,000",3.988,,"702,173","1,500,000",2.136,,0,"1,300,000",,,0,0,,,0,0,,,"702,173",0,0,,0,"1,500,000",,,,,,,,,0,0,,"1,500,000",
ct21,FALSE,2026-04,"700,531","2,500,000",3.569,,"700,531","2,500,000",3.569,,0,0,,,0,0,,,0,0,,,"700,531","2,500,000",3.569,,0,0,,,,,,,,,,,,,
ct6-xpage,TRUE,2026-04,"677,674","1,300,000",1.918,,"677,674","1,300,000",1.918,,0,0,,,0,0,,,0,0,,,"677,674","1,300,000",1.918,,0,0,,,,,,,,,,,,,
code9,FALSE,2026-04,"666,631","1,300,000",1.95,,"666,631","1,300,000",1.95,,0,0,,,0,0,,,0,0,,,"666,631","1,300,000",1.95,,0,0,,,,,,,,,,,,,
30th6_58,FALSE,2026-04,"659,804",0,0,,"659,804",0,0,,0,0,,,0,0,,,0,0,,,"659,804",0,0,,0,0,,,,,,,,,,,,,
nhungnt56_1,FALSE,2026-04,"602,600",0,0,,"602,600",0,0,,0,0,,,0,0,,,0,0,,,"602,600",0,0,,0,0,,,,,,,,,,,,,
code87,FALSE,2026-04,"589,641",0,0,,"589,641",0,0,,0,0,,,0,0,,,0,0,,,"589,641",0,0,,0,0,,,,,,,,,,,,,
codenq,FALSE,2026-04,"568,091",0,0,,"568,091",0,0,,0,0,,,0,0,,,0,0,,,"568,091",0,0,,0,0,,,,,,,,,,,,,
2-code19,FALSE,2026-02,"518,944",0,0,,940,0,0,,0,0,,,"518,004",0,0,,0,0,,,940,0,0,,0,0,,,,,,,,,,,,,
code81,FALSE,2026-04,"509,054",0,0,,"509,054",0,0,,0,0,,,0,0,,,0,0,,,"509,054",0,0,,0,0,,,,,,,,,,,,,
code75,FALSE,2026-04,"436,567",0,0,,"436,567",0,0,,0,0,,,0,0,,,0,0,,,"436,567",0,0,,0,0,,,,,,,,,,,,,
code76,FALSE,2026-03,"383,384",0,0,,0,0,,,0,0,,,0,0,,,"383,384",0,0,,0,0,,,0,0,,,,,,,,,,,,,
code85,FALSE,2026-03,"382,771",0,0,,0,0,,,0,0,,,0,0,,,"382,771",0,0,,0,0,,,0,0,,,,,,,,,,,,,
code149,FALSE,2026-02,"354,187",0,0,,0,0,,,0,0,,,"354,187",0,0,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
code188,FALSE,2026-03,"269,068","1,800,000",6.69,,0,"1,800,000",,,0,0,,,0,0,,,"269,068",0,0,,0,"1,800,000",,,0,0,,,,,,,,,,,,,
nhungnt56_xpage,TRUE,2026-04,"258,052","4,950,000",19.182,,"258,052","4,950,000",19.182,,0,0,,,0,0,,,0,0,,,"105,465","4,950,000",46.935,,"152,587",0,0,,"152,587",0,,0,0,,,,,,
ct23,FALSE,2026-04,"193,322","2,200,000",11.38,,"193,322","2,200,000",11.38,,0,0,,,0,0,,,0,0,,,"193,322","2,200,000",11.38,,0,0,,,,,,,,,,,,,
code223,FALSE,2026-05,"180,175",0,0,,"180,175",0,0,,0,0,,,0,0,,,0,0,,,0,0,,,"180,175",0,0,,"180,175",0,,0,0,,,,,,
code189,FALSE,2026-03,"163,706","1,300,000",7.941,,0,0,,,0,0,,,0,0,,,"163,706","1,300,000",7.941,,0,0,,,0,0,,,,,,,,,,,,,
code7,FALSE,2026-04,"108,246","1,300,000",12.01,,"108,246","1,300,000",12.01,,0,0,,,0,0,,,0,0,,,"108,246","1,300,000",12.01,,0,0,,,,,,,,,,,,,
nq-code136,FALSE,2026-04,"77,010",0,0,,"77,010",0,0,,0,0,,,0,0,,,0,0,,,"77,010",0,0,,0,0,,,,,,,,,,,,,
nhungnt56_2,FALSE,2026-04,"73,406",0,0,,"73,406",0,0,,0,0,,,0,0,,,0,0,,,"73,406",0,0,,0,0,,,,,,,,,,,,,
code27,FALSE,2026-04,"57,372",0,0,,"57,372",0,0,,0,0,,,0,0,,,0,0,,,"57,372",0,0,,0,0,,,,,,,,,,,,,
17-xpage-kv,TRUE,,0,"1,300,000",,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,0,0,,,0,"1,300,000",,,,,,,,,,,,,
code15-xp-5,TRUE,,0,"8,000,000",,,0,"8,000,000",,,0,0,,,0,0,,,0,0,,,0,0,,,0,"8,000,000",,,,,,,,,0,0,,"3,200,000",
intro2-xpage-5,TRUE,,0,"4,400,000",,,0,"3,100,000",,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,,0,"3,100,000",,,,,,,,,0,0,,"1,800,000",
code45-xp-5,TRUE,,0,"2,600,000",,,0,"2,600,000",,,0,0,,,0,0,,,0,0,,,0,0,,,0,"2,600,000",,,,,,,,,0,0,,"2,600,000",
118.68.96.210,FALSE,,0,"3,300,000",,,0,"2,000,000",,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,,0,"2,000,000",,,,,,,,,0,0,,"2,000,000",
103.199.69.36,FALSE,,0,"2,750,000",,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,0,0,,,0,"2,750,000",,,0,0,,"2,750,000",,,,,,,
1.55.122.129,FALSE,,0,"2,600,000",,,0,"1,300,000",,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,,0,"1,300,000",,,0,0,,"1,300,000",,,,,,,
metiendinh41,FALSE,,0,"1,300,000",,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,"1,300,000",,,,,,,
120246495852930017,FALSE,,0,"1,400,000",,,0,"1,400,000",,,0,0,,,0,0,,,0,0,,,0,0,,,0,"1,400,000",,,0,0,,"1,400,000",,,,,,,
120239528862540723,FALSE,,0,"1,250,000",,,0,"1,250,000",,,0,0,,,0,0,,,0,0,,,0,0,,,0,"1,250,000",,,,,,,,,,,,,
120242254695950017,FALSE,,0,"2,750,000",,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,0,0,,,0,"2,750,000",,,,,,,,,,,,,
113.166.102.248,FALSE,,0,"2,750,000",,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,0,0,,,0,"2,750,000",,,,,,,,,,,,,
27.66.96.156,FALSE,,0,"2,750,000",,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,0,"2,750,000",,,0,0,,,,,,,,,,,,,
171.224.179.189,FALSE,,0,"2,100,000",,,0,"2,100,000",,,0,0,,,0,0,,,0,0,,,0,"2,100,000",,,0,0,,,,,,,,,,,,,
page-p2-5,FALSE,,0,"26,700,000",,,0,"4,500,000",,,0,"16,500,000",,,0,"5,700,000",,,0,0,,,0,"4,500,000",,,0,0,,,,,,,,,,,,,
vomong,FALSE,,0,"2,700,000",,,0,"2,700,000",,,0,0,,,0,0,,,0,0,,,0,"2,700,000",,,0,0,,,,,,,,,,,,,
tualevangt8,FALSE,,0,"1,500,000",,,0,"1,500,000",,,0,0,,,0,0,,,0,0,,,0,"1,500,000",,,0,0,,,,,,,,,,,,,
intro-xpage1,TRUE,,0,"1,000,000",,,0,"1,000,000",,,0,0,,,0,0,,,0,0,,,0,"1,000,000",,,0,0,,,,,,,,,,,,,
14.224.155.29,FALSE,,0,"1,500,000",,,0,"1,500,000",,,0,0,,,0,0,,,0,0,,,0,"1,500,000",,,0,0,,,,,,,,,,,,,
vidtth_23th6_51_1.alb,FALSE,,0,"3,000,000",,,0,"3,000,000",,,0,0,,,0,0,,,0,0,,,0,"3,000,000",,,0,0,,,,,,,,,,,,,
2-code63-tg,FALSE,,0,"1,700,000",,,0,"1,700,000",,,0,0,,,0,0,,,0,0,,,0,"1,700,000",,,0,0,,,,,,,,,,,,,
1.52.123.55,FALSE,,0,"3,300,000",,,0,"3,300,000",,,0,0,,,0,0,,,0,0,,,0,"3,300,000",,,0,0,,,,,,,,,,,,,
1.53.207.217,FALSE,,0,"2,800,000",,,0,"1,500,000",,,0,0,,,0,0,,,0,"1,300,000",,,0,"1,500,000",,,0,0,,,,,,,,,,,,,
42.112.247.57,FALSE,,0,"2,750,000",,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,0,"2,750,000",,,0,0,,,,,,,,,,,,,
120234295486260017,FALSE,,0,"5,800,000",,,0,"2,800,000",,,0,"1,300,000",,,0,0,,,0,"1,700,000",,,0,"2,800,000",,,0,0,,,,,,,,,,,,,
page-p1-7,FALSE,,0,"4,000,000",,,0,"1,000,000",,,0,"3,000,000",,,0,0,,,0,0,,,0,"1,000,000",,,0,0,,,,,,,,,,,,,
42.113.16.181,FALSE,,0,"3,000,000",,,0,"3,000,000",,,0,0,,,0,0,,,0,0,,,0,"3,000,000",,,0,0,,,,,,,,,,,,,
kehoach,FALSE,,0,"2,750,000",,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,0,"2,750,000",,,0,0,,,,,,,,,,,,,
120239926135650580,FALSE,,0,"2,500,000",,,0,"2,500,000",,,0,0,,,0,0,,,0,0,,,0,"2,500,000",,,0,0,,,,,,,,,,,,,
albumbaitap,FALSE,,0,"2,750,000",,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,0,"2,750,000",,,0,0,,,,,,,,,,,,,
120233033822570017,FALSE,,0,"1,000,000",,,0,"1,000,000",,,0,0,,,0,0,,,0,0,,,0,"1,000,000",,,0,0,,,,,,,,,,,,,
29th7_84.1,FALSE,,0,"1,300,000",,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,,,,,,,,,,,,
1.53.197.22,FALSE,,0,"1,700,000",,,0,"1,700,000",,,0,0,,,0,0,,,0,0,,,0,"1,700,000",,,0,0,,,,,,,,,,,,,
code187-2,FALSE,,0,"1,100,000",,,0,"1,100,000",,,0,0,,,0,0,,,0,0,,,0,"1,100,000",,,0,0,,,,,,,,,,,,,
120243743962910017,FALSE,,0,"1,000,000",,,0,"1,000,000",,,0,0,,,0,0,,,0,0,,,0,"1,000,000",,,0,0,,,,,,,,,,,,,
14.244.152.8,FALSE,,0,"1,700,000",,,0,0,,,0,0,,,0,0,,,0,"1,700,000",,,0,0,,,0,0,,,,,,,,,,,,,
code4-3,FALSE,,0,"8,500,000",,,0,0,,,0,"5,900,000",,,0,"1,300,000",,,0,"1,300,000",,,0,0,,,0,0,,,,,,,,,,,,,
3-ta-tg,FALSE,,0,"1,000,000",,,0,0,,,0,0,,,0,0,,,0,"1,000,000",,,0,0,,,0,0,,,,,,,,,,,,,
code_2403,FALSE,,0,"2,100,000",,,0,0,,,0,0,,,0,0,,,0,"2,100,000",,,0,0,,,0,0,,,,,,,,,,,,,
113.160.181.71,FALSE,,0,"1,700,000",,,0,0,,,0,0,,,0,0,,,0,"1,700,000",,,0,0,,,0,0,,,,,,,,,,,,,
code13-5,FALSE,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,,0,0,,,,,,,,,,,,,
171.242.234.125,FALSE,,0,"1,700,000",,,0,0,,,0,0,,,0,0,,,0,"1,700,000",,,0,0,,,0,0,,,,,,,,,,,,,
code128-5,FALSE,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,,0,0,,,,,,,,,,,,,
120244184457650017,FALSE,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,,0,0,,,,,,,,,,,,,
lp2026-2,FALSE,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,0,"2,750,000",,,0,0,,,0,0,,,,,,,,,,,,,
code194,FALSE,,0,"10,200,000",,,0,0,,,0,"6,200,000",,,0,"3,000,000",,,0,"1,000,000",,,0,0,,,0,0,,,,,,,,,,,,,
code45-2-tg,FALSE,,0,"3,400,000",,,0,0,,,0,0,,,0,"1,300,000",,,0,"2,100,000",,,0,0,,,0,0,,,,,,,,,,,,,
notrungtam,FALSE,,0,"4,000,000",,,0,0,,,0,0,,,0,0,,,0,"4,000,000",,,0,0,,,0,0,,,,,,,,,,,,,
171.241.74.36,FALSE,,0,"2,750,000",,,0,0,,,0,0,,,0,"1,300,000",,,0,"1,450,000",,,0,0,,,0,0,,,,,,,,,,,,,
code13-2,FALSE,,0,"2,750,000",,,0,0,,,0,0,,,0,0,,,0,"2,750,000",,,0,0,,,0,0,,,,,,,,,,,,,
27.65.161.94,FALSE,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,,0,0,,,,,,,,,,,,,
14.191.174.111,FALSE,,0,"1,300,000",,,0,0,,,0,0,,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
pvcon,FALSE,,0,"1,700,000",,,0,0,,,0,0,,,0,"1,700,000",,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
conthaytoande_9th7_72,FALSE,,0,"2,100,000",,,0,0,,,0,"1,300,000",,,0,"800,000",,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
list,FALSE,,0,"1,500,000",,,0,0,,,0,0,,,0,"1,500,000",,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
page-p1-5,FALSE,,0,"4,500,000",,,0,0,,,0,"4,500,000",,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
30th6_54,FALSE,,0,"600,000",,,0,0,,,0,"600,000",,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
oiapp_2th7_63,FALSE,,0,"1,700,000",,,0,0,,,0,"1,700,000",,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
193.36.237.113,FALSE,,0,"1,300,000",,,0,0,,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
120241733458730017,FALSE,,0,"1,200,000",,,0,0,,,0,"1,200,000",,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
code93-2,FALSE,,0,"950,000",,,0,0,,,0,"950,000",,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
24th7_85.1,FALSE,,0,"1,300,000",,,0,0,,,0,"1,300,000",,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
ta-2-edu,FALSE,,0,"2,700,000",,,0,0,,,0,"2,700,000",,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
ct19-2,FALSE,,0,"2,000,000",,,0,0,,,0,"2,000,000",,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
