Code,is_xpage,First month,YTD spend,YTD rev,YTD ROAS,,Apr+May spend,Apr+May rev,Apr+May ROAS,,2026-01 spend,2026-01 rev,2026-01 ROAS,,2026-02 spend,2026-02 rev,2026-02 ROAS,,2026-03 spend,2026-03 rev,2026-03 ROAS,,2026-04 spend,2026-04 rev,2026-04 ROAS,,2026-05 spend,2026-05 rev,2026-05 ROAS,,5/4-5/10 spend,5/4-5/10 regs,5/4-5/10 CPR,5/4-5/10 rev,5/4-5/10 ROAS,,5/11-5/17 spend,5/11-5/17 regs,5/11-5/17 CPR,5/11-5/17 rev,5/11-5/17 ROAS
ct6,FALSE,2026-01,"8,823,099","9,100,000",1.031,,"7,285,206","3,900,000",0.535,,"362,466","1,200,000",3.311,,0,0,,,"1,175,427","4,000,000",3.403,,"4,865,463","1,300,000",0.267,,"2,419,743","2,600,000",1.074,,,,,,,,"2,052,632",6,"342,105","2,600,000",1.267
code43-xp,TRUE,2026-04,"7,847,251","5,300,000",0.675,,"7,847,251","5,300,000",0.675,,0,0,,,0,0,,,0,0,,,"4,749,686","2,800,000",0.59,,"3,097,565","2,500,000",0.807,,"2,308,547",19,"121,502",0,0,,"664,531",1,"664,531",0,0
code83-xp,TRUE,2026-04,"7,210,637","1,500,000",0.208,,"7,210,637","1,500,000",0.208,,0,0,,,0,0,,,0,0,,,"4,513,647","1,500,000",0.332,,"2,696,990",0,0,,"2,006,186",11,"182,381",0,0,,"579,604",0,,0,0
code175,FALSE,2026-01,"6,912,452","4,700,000",0.68,,0,0,,,"5,447,053","3,000,000",0.551,,"1,465,399","1,700,000",1.16,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
code216,FALSE,2026-04,"6,038,785","1,000,000",0.166,,"6,038,785","1,000,000",0.166,,0,0,,,0,0,,,0,0,,,"4,148,139","1,000,000",0.241,,"1,890,646",0,0,,"1,890,646",3,"630,215",0,0,,,,,,
code15_xpage,TRUE,2026-04,"5,594,031","11,100,000",1.984,,"5,594,031","11,100,000",1.984,,0,0,,,0,0,,,0,0,,,"2,427,266","1,750,000",0.721,,"3,166,765","9,350,000",2.953,,"2,314,657",14,"165,333","4,100,000",1.771,,"750,644",1,"750,644","1,300,000",1.732
ct19-xpage,TRUE,2026-04,"4,712,314","10,050,000",2.133,,"4,712,314","10,050,000",2.133,,0,0,,,0,0,,,0,0,,,"58,187",0,0,,"4,654,127","10,050,000",2.159,,"1,786,683",4,"446,671",0,0,,"1,769,030",9,"196,559","1,700,000",0.961
code118-xpage,TRUE,2026-04,"4,296,733",0,0,,"4,296,733",0,0,,0,0,,,0,0,,,0,0,,,"1,675,543",0,0,,"2,621,190",0,0,,"1,271,922",5,"254,384",0,0,,"1,090,330",2,"545,165",0,0
ct19-reup,FALSE,2026-04,"4,235,248","1,300,000",0.307,,"4,235,248","1,300,000",0.307,,0,0,,,0,0,,,0,0,,,"1,525,288","1,300,000",0.852,,"2,709,960",0,0,,"2,352,267",8,"294,033",0,0,,"226,075",0,,0,0
nhungnt56_xpage2,TRUE,2026-04,"4,039,609","2,500,000",0.619,,"4,039,609","2,500,000",0.619,,0,0,,,0,0,,,0,0,,,"2,035,908",0,0,,"2,003,701","2,500,000",1.248,,"2,003,701",4,"500,925","2,500,000",1.248,,,,,,
code73,FALSE,2026-03,"3,675,184",0,0,,"3,448,295",0,0,,0,0,,,0,0,,,"226,889",0,0,,"3,448,295",0,0,,0,0,,,,,,,,,,,,,
code63-2,FALSE,2026-04,"3,371,521",0,0,,"3,371,521",0,0,,0,0,,,0,0,,,0,0,,,"3,371,521",0,0,,0,0,,,,,,,,,,,,,
code104,FALSE,2026-01,"3,297,623",0,0,,0,0,,,"391,112",0,0,,"1,413,234",0,0,,"1,493,277",0,0,,0,0,,,0,0,,,,,,,,,,,,,
code214,FALSE,2026-04,"3,168,663","2,600,000",0.821,,"3,168,663","2,600,000",0.821,,0,0,,,0,0,,,0,0,,,"1,596,363","1,300,000",0.814,,"1,572,300","1,300,000",0.827,,"1,572,300",3,"524,100","1,300,000",0.827,,,,,,
code43,FALSE,2026-01,"3,027,975",0,0,,0,0,,,"3,027,975",0,0,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
code14-3,FALSE,2026-03,"2,964,040","3,450,000",1.164,,"1,188,075","3,450,000",2.904,,0,0,,,0,0,,,"1,775,965",0,0,,"386,100","3,450,000",8.936,,"801,975",0,0,,,,,,,,"801,975",1,"801,975",0,0
code119-xpage,TRUE,2026-04,"2,959,983","1,100,000",0.372,,"2,959,983","1,100,000",0.372,,0,0,,,0,0,,,0,0,,,"798,453",0,0,,"2,161,530","1,100,000",0.509,,"544,089",1,"544,089",0,0,,"837,049",3,"279,016",0,0
code125-xpage,TRUE,2026-04,"2,863,412","5,800,000",2.026,,"2,863,412","5,800,000",2.026,,0,0,,,0,0,,,0,0,,,"2,863,412","5,800,000",2.026,,0,0,,,,,,,,,,,,,
code141-3,FALSE,2026-03,"2,781,496",0,0,,"2,314,167",0,0,,0,0,,,0,0,,,"467,329",0,0,,"2,314,167",0,0,,0,0,,,,,,,,,,,,,
code102,FALSE,2026-01,"2,767,556",0,0,,0,0,,,"484,517",0,0,,"1,698,096",0,0,,"584,943",0,0,,0,0,,,0,0,,,,,,,,,,,,,
code45-2,FALSE,2026-04,"2,663,304","7,400,000",2.779,,"2,663,304","6,500,000",2.441,,0,"900,000",,,0,0,,,0,0,,,"2,663,304","5,300,000",1.99,,0,"1,200,000",,,,,,,,,,,,,
code127,FALSE,2026-01,"2,585,369",0,0,,"965,011",0,0,,"48,042",0,0,,"145,254",0,0,,"1,427,062",0,0,,"652,687",0,0,,"312,324",0,0,,"228,555",1,"228,555",0,0,,"83,769",0,,0,0
code104-2,FALSE,2026-03,"2,472,428","3,000,000",1.213,,"1,712,575",0,0,,0,0,,,0,0,,,"759,853","3,000,000",3.948,,"1,712,575",0,0,,0,0,,,,,,,,,,,,,
code219,FALSE,2026-04,"2,404,268",0,0,,"2,404,268",0,0,,0,0,,,0,0,,,0,0,,,"1,081,466",0,0,,"1,322,802",0,0,,"1,322,802",2,"661,401",0,0,,,,,,
code130,FALSE,2026-02,"2,235,786",0,0,,0,0,,,0,0,,,"2,235,786",0,0,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
code209,FALSE,2026-04,"2,097,877","1,300,000",0.62,,"2,097,877","1,300,000",0.62,,0,0,,,0,0,,,0,0,,,"2,097,877","1,300,000",0.62,,0,0,,,,,,,,,,,,,
ct24,FALSE,2026-04,"2,028,560",0,0,,"2,028,560",0,0,,0,0,,,0,0,,,0,0,,,"2,028,560",0,0,,0,0,,,,,,,,,,,,,
code177,FALSE,2026-01,"2,008,941","1,100,000",0.548,,"145,646",0,0,,"20,798",0,0,,"621,121",0,0,,"1,221,376","1,100,000",0.901,,"102,073",0,0,,"43,573",0,0,,"43,573",0,,0,0,,,,,,
code28,FALSE,2026-04,"1,948,518","1,400,000",0.718,,"1,948,518","1,400,000",0.718,,0,0,,,0,0,,,0,0,,,"1,948,518","1,400,000",0.718,,0,0,,,,,,,,,,,,,
code96,FALSE,2026-01,"1,898,470",0,0,,"584,658",0,0,,"1,258,279",0,0,,"55,533",0,0,,0,0,,,"584,658",0,0,,0,0,,,,,,,,,,,,,
code86-reup,FALSE,2026-04,"1,881,599","2,600,000",1.382,,"1,881,599","2,600,000",1.382,,0,0,,,0,0,,,0,0,,,"160,565",0,0,,"1,721,034","2,600,000",1.511,,"45,868",0,,0,0,,"552,360",2,"276,180",0,0
code181,FALSE,2026-01,"1,803,620",0,0,,0,0,,,"1,803,620",0,0,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
code44,FALSE,2026-04,"1,768,149",0,0,,"1,768,149",0,0,,0,0,,,0,0,,,0,0,,,"1,318,523",0,0,,"449,626",0,0,,"423,294",0,,0,0,,"11,290",0,,0,0
code81-reup,FALSE,2026-04,"1,742,993",0,0,,"1,742,993",0,0,,0,0,,,0,0,,,0,0,,,"719,894",0,0,,"1,023,099",0,0,,"796,869",3,"265,623",0,0,,"226,230",0,,0,0
code221,FALSE,2026-05,"1,580,999",0,0,,"1,580,999",0,0,,0,0,,,0,0,,,0,0,,,0,0,,,"1,580,999",0,0,,"1,580,999",1,"1,580,999",0,0,,,,,,
code182-2,FALSE,2026-04,"1,580,458",0,0,,"1,580,458",0,0,,0,0,,,0,0,,,0,0,,,"1,580,458",0,0,,0,0,,,,,,,,,,,,,
code74,FALSE,2026-04,"1,529,595",0,0,,"1,529,595",0,0,,0,0,,,0,0,,,0,0,,,"1,529,595",0,0,,0,0,,,,,,,,,,,,,
code136,FALSE,2026-03,"1,456,466",0,0,,0,0,,,0,0,,,0,0,,,"1,456,466",0,0,,0,0,,,0,0,,,,,,,,,,,,,
code15,FALSE,2026-04,"1,435,460",0,0,,"1,435,460",0,0,,0,0,,,0,0,,,0,0,,,"1,411,544",0,0,,"23,916",0,0,,"16,666",0,,0,0,,"7,250",0,,0,0
code66,FALSE,2026-01,"1,429,392",0,0,,"1,067,249",0,0,,"19,366",0,0,,"7,633",0,0,,"335,144",0,0,,"401,967",0,0,,"665,282",0,0,,"659,103",2,"329,552",0,0,,"6,179",0,,0,0
code222,FALSE,2026-05,"1,390,503",0,0,,"1,390,503",0,0,,0,0,,,0,0,,,0,0,,,0,0,,,"1,390,503",0,0,,"1,390,503",2,"695,252",0,0,,,,,,
code77-3,FALSE,2026-04,"1,338,670",0,0,,"1,338,670",0,0,,0,0,,,0,0,,,0,0,,,"1,338,670",0,0,,0,0,,,,,,,,,,,,,
